Board,Title_Tokens
hate_politics,後 》 反 助理 費 除罪 化 連署 人 6 立委
hate_politics,是不是 中國 人 美國 拖下水
hate_politics,痛恨 台北市 建築法 規
hate_politics,肉 呆 true 飯 沒人
hate_politics,遼寧 指駛入 訓練 區 中方 反問 機
hate_politics,綠營會 想 淡化 戰爭 情況
hate_politics,反 中 民進黨 字 看不懂
hate_politics,苗 博雅 退出 競爭 市長 青鳥 鬆 氣
hate_politics,支那人 抗日 成功
hate_politics,綠委 國民黨 要 清鄭 習會 沒有 交換 條件
hate_politics,老柯 完全 消失
hate_politics,幹 錯 puma 老師 說 人 上 戰場
hate_politics,民眾黨 要求 3 以前 完成 整合
hate_politics,吳怡 農 參選 市長
hate_politics,權 分立 立院 提 不信任案
hate_politics,執政黨 提案 倒 閣 行政院 長
hate_politics,行政院 副署 沈柏洋 國會 應該 倒 閣
hate_politics,子弟兵 何元楷 遭爆 國小霸 凌同 學 羅智強
hate_politics,王毅 德國 外長 談 戰敗國應謹言 慎行
hate_politics,助理 當 乞丐 立委 名單 一覽
hate_politics,青鳥普 信女
hate_politics,0 政 黑綠 促 瑟瑟 發抖
hate_politics,沒錢 助理 助理 不用 錢
hate_politics,去 韓國 玩 加 註 中 國 灣 感受
hate_politics,台灣 詐騙 犯 「 遣送 中國 」 人 全 辦
hate_politics,大 公投 大 成功 勝算
hate_politics,桃園 國中 課堂 使用 電 子 菸 驗 出 喪 屍 煙 彈
hate_politics,快訊 陳玉珍 提案 「 微罪 緩刑 可 參選 」
hate_politics,藍白修 惡法 行政院 要 擔慮 事
hate_politics,應佳妤 深深地 感受 到 來 民主 鐵拳
hate_politics,卓榮泰 下台 倒計 時
hate_politics,涉 貪 議員 陳怡君 哭 認罪 「 貪心
hate_politics,巧芯 準備 開吉 會 政 黑板 友 中 槍
hate_politics,陳玉珍 提 微罪 緩刑 可 參選 幫蘇 清泉 開 後 門
hate_politics,人陽 萎沒種 時 會 怪 鄰居
hate_politics,韓國 台灣 標成 中國 台灣
hate_politics,憲法 法庭 到 選前 無法 運作 、
hate_politics,菲律賓 廢止 台灣 西班牙 豬肉 可 qq
hate_politics,藍白強 推 立委 貪 汙 除罪 化
hate_politics,應曉薇 女兒 不要 想 白營 票
hate_politics,國民黨 殺人無罪
hate_politics,桃園 「 班 停課 」 長達 天 腸 病毒 爆發
hate_politics,黃仁勳 是否 會 出賣 台灣 趙怡翔 擔
hate_politics,藍白 五毛 圍島 、 打 電網 台灣 會 投降
hate_politics,美 輝達 h200 抽成 抽 白宮 官員 台灣 出口 時 徵收
hate_politics,藍白 要 保賴 瑞隆 出線
hate_politics,東南亞 洪水 死 人 賴 完全 不聞 問
hate_politics,行政院 不用 給 立法院 審 預算
hate_politics,行政院 帶頭 違憲 大 選 分
hate_politics,苗澤東 烏克蘭 官員 說 馬照 跑 舞照 跳
hate_politics,puma 老師 說 戰爭 時 人 戰場
hate_politics,輕 人 假 蔣 家人
hate_politics,苗 博雅 是不是 幻想 東線 無戰 事
hate_politics,黃國昌 配套 不良 恐瘦 孩子 們 營養
hate_politics,苗澤東 受過 專業 軍事 訓練
hate_politics,陳玉珍 嗆 助理 助理 費案 會 撤回
hate_politics,建議 卓榮泰 尋求 釋憲 強調 尊重 司法 判決
hate_politics,清大吞 下 翁曉鈴 貪污
hate_politics,派苗 博雅 防部 長
hate_politics,開 後 門 陳玉珍 提案 鬆 綁 排 黑 「 讓 緩刑
hate_politics,應曉薇 女兒 別 「 kp 」 徽章
hate_politics,大 地震台 灣 客護飯店 電視 日本 人 感動 瘋 傳
hate_politics,法案 公布 「 卓揆 執行 」 深 綠學者 惡
hate_politics,就算 憲法 法庭 認定 違憲 行政院 能 耍賴
hate_politics,法律 公布 執行 法盲
hate_politics,違憲 行為 制止 違憲 法案 不滿 去 釋憲
hate_politics,台灣 關 係 法 可 說 美 國 會 幫 忙 打仗
hate_politics,國台 辦 指示 藍白 陸配參 政權 應 保障
hate_politics,禁 廚餘養 豬 配套 不良 黃國昌 恐瘦 孩
hate_politics,藍 白畜 翻 國民黨 霸凌 參選 人 道歉
hate_politics,賴 瑞隆 沒 宣布 退選
hate_politics,民進黨 小兒 霸凌 國民黨 學生 時期 霸凌
hate_politics,指標性 綠粉 臭 卓榮泰 違法 硬幹
hate_politics,徐 嶔 煌 京都 完婚 新郎 年齡 差 逾
hate_politics,共產黨 應該 期待 司法 弄死 黃國昌
hate_politics,貪 汙 無 罪 會 幫 國民黨 選情 拿
hate_politics,軍 公教 哭 窮 勞工 辦
hate_politics,蔣萬安 選 台北市 任
hate_politics,財劃 法 僵局 卓榮泰 總 預算 、 強化
hate_politics,時候 要稱 帝
hate_politics,chat gpt 說 實話 會 制裁
hate_politics,黃智賢 中央 總 預算 匯 到 賴清德 帳戶
hate_politics,黃智賢 世界 fb 惡 魔 立委 邏輯
hate_politics,何元楷 同學 大家 小 時候 調皮
hate_politics,中國 戰區 台灣省 受降 儀式
hate_politics,助理 費 除罪 化 藍委 提 地方 民代 辦理 免
hate_politics,笑 死 柯建銘 接 鍋
hate_politics,日本 tiktoker 大 逃亡
hate_politics,大 小姐 說 要 集體 自律
hate_politics,民進黨 立委 提倒 閣
hate_politics,黃捷 深 蹲
hate_politics,違憲 藍白
hate_politics,老川 要 中國 合作 青鳥 去
hate_politics,鶄 是不是 蠻 智障
hate_politics,嘉義 普發 台中 跟進 盧秀燕 反應 曝
hate_politics,中共 要 佔領 台灣 渡海 登陸 空降
hate_politics,股票 板 變成 舔 中板
hate_politics,館長 拿掉 政治 髒 話 能 直播 超過 時
hate_politics,農農 輸 世祖
hate_politics,立院 法案 執行 會 後 稻草
hate_politics,立委 薪水 變相 增 揭 陳玉珍 提案 引爆 國
hate_politics,大陸 地 統計 女性 經期 中共 如 黑 社會 催
hate_politics,國民黨 要求 封鎖 抖 音 境外 ip
hate_politics,王毅 稱 台灣 地位 「 鎖定 」
hate_politics,踢踢 剩 人 上 線 新 帳號 出現
hate_politics,快訊 陳玉珍 「 提案 公正 會 撤回 」
hate_politics,政院 堅持 執行 財劃 法 國民黨團 卓榮
hate_politics,看 藍粉 護航 何元楷
hate_politics,館長 藍白 死活 旺 董
hate_politics,撐 考察期 館長 吼 「 抖 音 商業
hate_politics,支那人 日本 平交道 撞死
hate_politics,民進黨 大敗 賴清德 會 負責
hate_politics,防禦 武裝 買到 空氣 辦
hate_politics,苗 博雅 fb 詐騙 抓 到 後 主謀
hate_politics,戰爭 要 摸 生活
hate_politics,國民黨 提案 貪 汙 受 刑法 規範
hate_politics,開戰 死傷 人 造成
hate_politics,諸羅山 自有 嚴
hate_politics,總 預算 藍白 會 審
hate_politics,台派 結局
hate_politics,小草 人肉 盾牌 會 做
hate_politics,翁曉玲 廢死 爆驚 大法官 解釋
hate_politics,酒 駕 小草 政府 會 搶 錢
hate_politics,不要 忘記 周子瑜 事件
hate_politics,打仗 時 侯國昌 老師 會 看錯 國旗
hate_politics,願役 中民進黨 支持者 佔
hate_politics,民進黨 執政 後 不能 酸 對岸 事
hate_politics,青鳥 是不是 發現 反中 風向 改變
hate_politics,國民黨 內鬥 何元楷
hate_politics,小草 怒 「 沒有 憲法 法庭 」
hate_politics,民進黨 怕 大陸 交流
hate_politics,行政院 執行 立院 讀 法案 辦
hate_politics,防詐 不妨 修法 讓 陸資 平台 無障礙 落地
hate_politics,小 紅書 配合 政府 司法部 門 打詐 贏
hate_politics,青鳥 投降 解放 軍 會 理
hate_politics,沈伯洋 是不是 愛 演 受虐 兒
hate_politics,鄭麗文 聲量 雪崩 剩一成 藍營 直播 圈熱度 下跌 粉 專 分析 原因
hate_politics,中共 打來 藍 白害
hate_politics,兩岸 開戰 股市 剩有
hate_politics,北京 語霸 權黨 民眾 黨 要 違憲
hate_politics,中國 新國 標電動車 遭網 民大 吐 槽
hate_politics,藍白太 孬了 上 戰場
hate_politics,台派 沒有
hate_politics,藍營 新人 何元楷 遭 爆 「 小霸凌 」 涉 推擠 潑 水 吐口 水
hate_politics,尹啟銘 台股 上
hate_politics,陸女 入境 下體 鼓起 內藏 活蟲
hate_politics,dodomessage 貼 人 霸 凌 標 籤
hate_politics,帶 女兒 出門 突襲 遭疑 自導 自演 沈伯洋
hate_politics,麥玉珍 選台 中 能 拿
hate_politics,偏安 好 綠 堅持 獨立
hate_politics,苗 知道 烏克蘭 少 4 人口
hate_politics,偏安 好 藍白 堅持 統一
hate_politics,要 開始 限制 役男 出境
hate_politics,藍白 願意 保衛 台灣 算叛 國罪
hate_politics,啓 楷 曝 徵召 選 嘉市
hate_politics,民進黨 政府 敢 違法 亂紀 依法行政
hate_politics,館長 想 總統
hate_politics,嘉義 市加碼 普發 計畫 市府 送議
hate_politics,台灣 女性 應讓 習近 平馬 上 風
hate_politics,民眾黨 女人 回來 xdd
hate_politics,川普 輝達 h200 晶片 出口 中國
hate_politics,開戰 「 馬照 跑 舞照 跳 」 苗 博雅 提 烏
hate_politics,欸 公然 說 小孩 應該 要 處決 沒事
hate_politics,人 幫 公務員 貪污 除罪 化
hate_politics,戰爭 閩南 政權 垮台 痛點
hate_politics,看下 脆 根本 沒人 認同 賴清德 中華民國團 結說
hate_politics,民進党 八炯 繼續 合作
hate_politics,丁 瑀 國民黨 裡面 媚
hate_politics,和平 太久 會 沒有 危機 意識
hate_politics,談 黃國昌 人頭 凱思 金主 姻親 表弟 遭鎖
hate_politics,民進黨 應該 讓 苗 高雄 選
hate_politics,姻親 黃國昌 老婆 l 姓 表弟
hate_politics,黃國昌 幫 修法 勾串 證人 滅證 、 免 羈押
hate_politics,日本 f15 中國 j15 鎖爛 中國 軍力 青鳥
hate_politics,烏克蘭 死 人 民進黨 內心 會 不安
hate_politics,台灣 志 願役 問題
hate_politics,t21 請進 柯文 哲 說
hate_politics,berotec 會 事釣到 發文
hate_politics,願意 保衛 台灣 願意 兵 邏輯
hate_politics,賴清德 會 李登輝 gus
hate_politics,連台 孬種 要 保護
hate_politics,網軍 鎖定 黃 暐 瀚 毛骨悚然
hate_politics,女生 兵 保衛 台灣
hate_politics,中共 美軍 交手
hate_politics,日本 強 震 阿館 會 捐 錢
hate_politics,民調 藍白 成 願意 保衛 台灣
hate_politics,民進黨 報告
hate_politics,沒 「 前 」 板主帶 領 政黑 躍上 新聞
hate_politics,黑熊 忘 大 罷免
hate_politics,民眾黨 許甫 請 進
hate_politics,台灣 主權 決議 文跟 共識 廢物 文獻
hate_politics,國民黨 要民調 贏 贏 輸 要 贏 遊戲
hate_politics,路易莎 營 收低 報應
hate_politics,兵 嘉義 市施 壓 藍白 整合 黃國昌 拍板 張
hate_politics,啓 楷 出 戰 嘉 義 市 長 地方 盛傳民 眾 黨 找 「
hate_politics,香港 父母 帶 小孩 去 深圳 玩 目的
hate_politics,苗 博雅 戰爭論 想 表達
hate_politics,能 認定 假 議題
hate_politics,南韓 驚爆 監視器 畫面 遭 駭 非法 「 裸
hate_politics,貪污 助理 費 除罪 問題
hate_politics,「 政治 、 人 父母 」 賴瑞
hate_politics,說 預算 案會 收場
hate_politics,國民黨 會 擋 軍 購
hate_politics,【 禁聞 】 詭異 中國 地 無 人機 噴灑
hate_politics,google 民進黨 賴清德 面子 耶
hate_politics,高雄市 市長候 選民 進 黨四傑 優點
hate_politics,中國 女遊 「 假冒 台灣 人 」 京都 壽喜 燒 名店 話 拆穿
hate_politics,動力 讓 橘子 逃亡 海外
hate_politics,海角 阿扁 重磅 回歸 鏡週刊
hate_politics,駁心 結說 鄭麗文 喊 盧秀燕 「 太陽 」
hate_politics,死透
hate_politics,馬克宏 中國 放話 縮減 貿易 逆差 課
hate_politics,反 智苗 要 洗戰爭 風向
hate_politics,看到 全世界
hate_politics,青鳥 失守 街亭
hate_politics,戰爭 根本 會 死 人
hate_politics,賴清德 宣布 怕 斬首
hate_politics,靠背 美國 拿 中國 貸款
hate_politics,能 說 原諒 女童
hate_politics,黃國昌 賴清德 打 嘴 砲 夠
hate_politics,霸凌 真服了 洗地 塔 綠 信徒
hate_politics,人均 gdp 購買 力 排名 預測
hate_politics,黃國昌 邏輯
hate_politics,脆 爆料 國民黨 新北 議員 參選 人霸 凌同 學
hate_politics,陳菊會 會
hate_politics,投 民進黨 結果 要 擔心 阿 打
hate_politics,黃國昌 震怒 賴清德 要 嘴 砲
hate_politics,憲法 要 民進 黨統
hate_politics,慟 朱學恆 聊 政治 時事 改聊 歷史
hate_politics,苗澤東 知道 烏克蘭 面積
hate_politics,柯文 哲 言詞 辯論 陳佩琪 控 北檢 「 騙票 收索 」
hate_politics,青鳥 有為 抗 中 做 犧牲
hate_politics,後 才能 倒 閣 換掉 厚 臉 皮 卓榮泰
hate_politics,青鳥 要 反 國民黨 提 貪污 除罪 化
hate_politics,日本 歌手 承認 中國 人 上台
hate_politics,霸凌 仔 事情 告一段落 總 結
hate_politics,徐國勇 基隆市 長 提名 人 選 棒 盼
hate_politics,賴 瑞隆 哭 看 後 道歉 怒轟 「 民主 哭神 」 大戲 上演
hate_politics,國民 黨 捲 錢 逃 難 丟 國 民 屬
hate_politics,cheap 評漢 來 行館 外觀 醜 查證 蓋
hate_politics,認真 問 發現 打 假球
hate_politics,許甫 監督 矢板 明夫 吃 食物 xddd
hate_politics,賴清德 指 台灣本 獨立 「 國號 需 」
hate_politics,中國 想要 武統 台灣 阿
hate_politics,兩岸 開戰 白粉 負責 詐騙 軍
hate_politics,月份 政治 大戲 剩高 虹安 審
hate_politics,全球 慘付 代價 中國 出口 海嘯 肆虐 貿易 順
hate_politics,韓 入境 卡 寫 中國 台灣 遲 未改 綠 委籲 政府
hate_politics,薯條 加大 、 助理 費放 口袋 、 貪污 免罪
hate_politics,藍白 暴民 倒 讚 到 志 祺 想 去 日本 可悲
hate_politics,從 高雄市 長候 選人 看出 國民黨 民主
hate_politics,中 跳 江啟臣 無視 台中人 照 投
hate_politics,政 黑板 看 侯友 宜 唸 簡 訊 行
hate_politics,「 吃 海鮮 日本 」 人 宴 許甫
hate_politics,國民黨 提案 黨政軍 介入 媒體 除罪 化
hate_politics,刪 黨章 換 鄭 習會 基層 憂 紅統 標 籤 上身
hate_politics,黃 暐 瀚 threads
hate_politics,青鳥 不在乎 霸凌 女童 心理 創傷
hate_politics,總統 大選 台北 投綠
hate_politics,青鳥 中國 人 友善
hate_politics,柯文 哲 政來 重要 代表作
hate_politics,台中 跳 回事
hate_politics,藍白 助理 費匯 到 立委 帳戶 進
hate_politics,變態 青鳥 偷拍 黃國昌 老婆 拍 未成年
hate_politics,台派 堅持
hate_politics,贊成 封鎖小紅 書 yahoo 民 調揭 網友
hate_politics,青鳥 看 憲法 寫
hate_politics,藍白 助理 費 犯罪 要 改掉
hate_politics,政治 與 私利 凌駕 人性
hate_politics,蔣經國 兒子 活 不到
hate_politics,日本 加重 who 角色 世衛 秘書長 承諾 加強 台
hate_politics,藍 白粉 藍 提案 詐 助理 費無罪 要 歸 功民 進黨
hate_politics,馬 防部 證明 官兵 涉入 詐騙 集團 強調 毋枉毋
hate_politics,藍白強 推 貪 汙 內 無罪
hate_politics,政治 失意者 天堂
hate_politics,板 上 藍白 支持 索賄 不算 貪 汙
hate_politics,「 電鍋案 」 掀輕 罪重 罰 討論 法務部 推修 法
hate_politics,獨家 》 國會 助理 工會 赴 議場 抗議 盼
hate_politics,小紅書 鎖 於 沒鎖 網友 簡單 2 招 繼續
hate_politics,賴 瑞隆 子 欺負
hate_politics,可靠消息 應該 中 龜 頭 要 見習 近 平
hate_politics,知不知道 爸爸
hate_politics,笑 死 助理 費案 國民黨 縮
hate_politics,藍 白腦 開始 洗 台北 藍 、 中間 選民
hate_politics,民主 漏洞 是不是 像 陳玉珍
hate_politics,子 教 父
hate_politics,國民黨 推 貪 汙 除罪 化 板上 藍腦 支持
hate_politics,護航賴 瑞隆 cheap 毛骨悚然 「 霸
hate_politics,賴 總統 台灣 樂意 幫助 中國 解決 經濟 問題
hate_politics,藍白霸 凌 小草 會 雙標
hate_politics,陳玉珍 提 地方 助理 補助 費 不受 貪污 、 刑法 規範
hate_politics,陳其邁 臉 書 追 蹤
hate_politics,
hate_politics,貪污 助理 費 最多 民進黨
hate_politics,0 支持 貪污 可能 修法 成 排除 貪污
hate_politics,秀 選舉 借貸 存 摺 明細 陳佩琪 控檢 方
hate_politics,請 問 貝森特 採訪 是否 表示 北約 解體
hate_politics,高市 早苗 內閣 支持 度 重挫 6 2
hate_politics,民進黨 高雄市 市長人 選
hate_politics,新竹 公務員 負擔 飆升 成全 國 最重 人口 暴
hate_politics,沈伯洋 女兒 是不是 碰到 賴 瑞隆 兒子
hate_politics,陳珮琪 借錢 選舉 逛 豪宅
hate_politics,saltlake 進來
hate_politics,小紅書 禁 小草 衝 立法院
hate_politics,黃國昌 溫柔 評 助理 費 聽 聽 意見
hate_politics,沈伯洋 揭露 台灣 社會 治安 敗壞
hate_politics,媒體 可靠消息 鄭麗文 要 去 見習 近 平
hate_politics,歐 美 人 幹 去 中國 退休
hate_politics,陳玉珍 推 助理 費修法 惹議 黃國昌 籲 「
hate_politics,陳玉珍 好像 蒂 法
hate_politics,大港 開唱 國民黨 唱 下 好
hate_politics,台灣 民主 慘 遭 賴清德 沒收 記者 會
hate_politics,高雄青 鳥 成為 霸凌
hate_politics,國家 追 髒 錢 反觀
hate_politics,蔣萬安 機會 拿
hate_politics,鄭麗文 遞出 橄欖枝 鍾 東 錦 鬆 接受 國民黨
hate_politics,賴清德 想 連任 柯文 哲 下跪 道歉
hate_politics,脆 上面 追殺 「 假台 派 」
hate_politics,警方 puma
hate_politics,代母 出征 應曉薇 女兒 應佳妤 表態 接棒
hate_politics,吳 淑珍 夫人 囂張
hate_politics,柯文 哲 痛恨 陳菊 先知
hate_politics,賴 瑞隆 網路 充斥 假消息 相信 會 撕裂 台灣
hate_politics,陳其邁 頭
hate_politics,應佳妤 跳出 來 對決 鍾 小 平 柯智堯
hate_politics,綠營 內部 鬥 起來 是不是 恐怖
hate_politics,tvbs 台北市 長民 調 綠營 洗洗 睡
hate_politics,賴 總統 留 「 中華民國 」 助團 結 鄭麗文
hate_politics,青鳥 帶 風向 說 大家 欺負 賴兒
hate_politics,高雄 演唱 會 文化 能 延續
hate_politics,脆 上面 夢境 文
hate_politics,游淑 慧 鍾 小平 人 開除 黨籍
hate_politics,最近 高嘉瑜 存在 感 高 是不是 要 參選 台北
hate_politics,快訊 沈伯洋 陪 女兒 遭 嗆 「 通緝 活該
hate_politics,賴 瑞隆 會 出來 選
hate_politics,藍白 要 公 佈 賴 清 德 全家
hate_politics,笑死人 詐團 直接 攻入 馬 防部
hate_politics,兒 涉霸 是否 參選 賴 瑞隆 持續 政
hate_politics,叉 貓 高雄 小賴 好友 藍白 發抖
hate_politics,獨金 孫賴清德 宣布 中華民國 才能 團結 台灣
hate_politics,蔣萬安 改名 沒改 徹底
hate_politics,賴 瑞隆 穩 高雄市 長 應 問題
hate_politics,民進黨 政府 國民黨 要 刪 黨章
hate_politics,錢 敢 放 口袋 會 怕 選民 政治 責任
hate_politics,傳國 民黨 要 刪 「 」 黨章 柯志恩 抿嘴 茲 事體 大 部分 可
hate_politics,政黑 關心 版主 去向
hate_politics,板橋 氣爆 、 藍白 直接 那高雄 氣 爆
hate_politics,館長 身高 cm 開戰戰力 強
hate_politics,關 係 影 響 壽司郎 上海 開 店
hate_politics,媽媽 貪污 小孩 選議員
hate_politics,賴證實了 高雄 孩子
hate_politics,賴 瑞隆 子女 涉霸 柯志恩 喊 「 翻篇了 」
hate_politics,快訊 中 北屯 傳 巨響 男 「 離家 上
hate_politics,小孩 是不是 衰小
hate_politics,陳佩琪 peggyfb 講騙票 搜索
hate_politics,台中 女 樓 墜 中庭 送醫 搶救 不治
hate_politics,脆 風向 大 轉彎 女童 霸凌 者
hate_politics,蔡 英文 光電 政策 需 邁向 進化 不能
hate_politics,藍白 要 修法 助理 費匯 到 立委 名下
hate_politics,沈伯洋 女兒 遭遇 突襲 po 出 照片 證實
hate_politics,小孩 要 人 死 原生 家庭
hate_politics,起訴 書 不夠 陳佩琪 爆檢 方狂 丟
hate_politics,蔡 英文 復 出 搭 陳 邁 選 可能
hate_politics,b 前 版主 實錘 藍 白粉
hate_politics,國民黨 會告 自由 時報
hate_politics,賴瑞榮 黃士 修長 好像
hate_politics,黃智賢 護航 助理 費 除罪 適合 下 地獄
hate_politics,影 》 追不上 物價 薪資 倒退
hate_politics,賴瑞榮 兒子 校園 事件 整理
hate_politics,「 台灣 變牆 國 」 禁 小 紅書 自肥 選舉 館長 揚言
hate_politics,龍介仙 對賴 瑞隆 發表 評論
hate_politics,扁挺妃 輪 、 用排 到 妳
hate_politics,小紅書 遭封 高嘉瑜 曝 民 眾 「 痛恨 事 」
hate_politics,gdp 達 薪資 成長 趴
hate_politics,越南 屠夫 閩 南台 派 精神 狀態
hate_politics,林俊憲 活成 妙妙姐 樣子
hate_politics,藍白 部分 綠 vs 賴清德 贏
hate_politics,助理 薪資
hate_politics,脆 小孩 文
hate_politics,民進黨會 修霸 凌法
hate_politics,脆 熱議 全班 逼賴 兒 脫 褲子 失控 動手
hate_politics,柯文 哲 嗆 陳佩琪 叫 妳 要 做 飯
hate_politics,八卦 熱議 下 高雄市 長 柯志恩
hate_politics,青鳥 拿 蔣孝文 殺 人 來 救援
hate_politics,板橋 氣爆 壓 小孩 新聞
hate_politics,青鳥 希望 台灣 變成 樣子
hate_politics,藍白 叫 林姿妙 、 高虹 敢 退選
hate_politics,藍白 中國 產品 稅率 金門 人 決定
hate_politics,館長 否認 切割 「 唸 」 曝 黃
hate_politics,直擊 aaa 音樂節 票房 淒涼 樓 全空 畫面
hate_politics,深綠 學妹 討論 賴 瑞隆 沒救
hate_politics,脆 熱議 小孩 全班 霸凌
hate_politics,美國 國家 安全 戰略
hate_politics,流行 選 女性 市長
hate_politics,賴 瑞隆 開 破爛 記者 會 要 幹
hate_politics,應曉薇 女兒 控禁 小 紅書 「 如 極權 國家 」 大
hate_politics,邱議瑩 原本 趴 結果 要 出線
hate_politics,中華民國 二戰戰勝 國 欸
hate_politics,隆兒 算是 捨 身 救 父
hate_politics,林岱 樺 賴 瑞隆 選 正副 市長 搞 頭
hate_politics,是不是 輪到 黃國昌 跳舞 給 大家 看
hate_politics,認真 問 賴 瑞隆 辦法 安全 下莊
hate_politics,射控 雷達 鎖定 反擊
hate_politics,暴力 挺身而出
hate_politics,賴 夫人 爆彈 拆
hate_politics,民進黨 南部 土 霸王 瘋狂 霸凌 性騷 和解
hate_politics,中共 煽動 受挫 壽司郎 上海 開店 盛況 空
hate_politics,賴 瑞隆 兒 落淚 道歉 徐巧芯 猛酸 「
hate_politics,自由 鄭 習會 獨家
hate_politics,黑熊 帶 女兒 散步 騷擾
hate_politics,板橋 氣 爆 負責
hate_politics,青鳥 是不是 反到 走火入魔
hate_politics,陳玉珍 提 助理 費修法 國民黨 內釀 「 茶壺 風
hate_politics,小金 穩
hate_politics,賴 瑞隆 是不是 出局
hate_politics,賴 b 板主 道歉
hate_politics,政黑 最好 板主 教 好 會
hate_politics,顏寬恒 疑 請 託 修 法 助理 費 除罪 化
hate_politics,中國 駐 大使 說 衛隊 滋擾 訓練
hate_politics,青鳥 不離 中國
hate_politics,說 道歉
hate_politics,賴兒霸 凌 事件 受傷 最重 政 黑 傻 b 版主
hate_politics,該 支持 關掉 ptt 亂源
hate_politics,深 綠 朋友 禁 小 紅書 支持 和平 統一
hate_politics,賴 總統 普發 讓 中國 老百姓 破防
hate_politics,隆哥 要 做 才能 解套
hate_politics,張善政 稱作 新店市 長
hate_politics,中法 保鏢 馬克宏 後 面 開戰 xd
hate_politics,蔣經國 放任 蔣孝文 台灣 殺 人 比霸凌 嚴重
hate_politics,賴 證明 女孩 媽媽 啊
hate_politics,民進黨 帶 大家 回到 豪 豪
hate_politics,未成年 校園 霸凌 婦女票 跟教 師票 守 得 住
hate_politics,前板 主 算是 倒
hate_politics,兒 涉霸 凌賴 瑞隆 當面 道歉 女童 媽 想
hate_politics,黃國昌 會 看 賴兒霸 凌 案 和解
hate_politics,反滲 透到 條款 看 立院 消失 委員會
hate_politics,說 前政 黑 版主 失望
hate_politics,方是 有力 人士 原諒
hate_politics,霸凌 者 母親 勇敢
hate_politics,鐘東錦 、 顏寬恆 要 不要 辭去 現任 職務
hate_politics,青鳥 到
hate_politics,藍白全 聖 人
hate_politics,道歉 賴 瑞隆 戲
hate_politics,脆 上民進黨 反串 網軍
hate_politics,社宅 變 「 水濂洞 」 建物 驚見 大量 冰柱
